id,名称,地址,交流桩数,交流桩数,运行商,电站类型,平均费用,各时段充电费用,各时段服务费用,停车费用,经度,纬度
cb70afdb-a9f6-401a-a4c0-bafd2f2121a9,奉贤区 苏宁生活广场,上海市奉贤区南奉公路7500号,0,17,星星充电,公共电站,1.7,0.495--0.858--1.159--0.858--1.159--0.858--1.159--0.858--0.495,0.64--0.64--0.541--0.64--0.541--0.64--0.541--0.64--0.64,5元/小时（仅供参考，具体以场地方收费为准）,121.4899017561388,30.918870387788502
efff7e55-5003-466d-95a4-ecbdae2f3bac,闵行区 君莲幸福苑二期(直流10区),上海市闵行区都会路2799弄,0,0,星星充电,公共电站,1.417,0.307--0.617--0.307,0.8--0.8--0.8,1-5小时5元，6小时以后10元 （仅供参考，具体以场地方收费为准）,121.4098738971489,31.07850581035723
570768b4-93cd-4a07-afcd-b4b1d340087f,闵行区 虹梅新苑,上海市闵行区永德路369弄进门直行200米到底右侧,0,19,星星充电,公共电站,1.61,1.16,0.45,5元/时（仅供参考，具体以场地方收取为准),121.45938147269585,31.039700270431215
529d3d8b-b802-45ef-a094-4ef2503e59a0,浦东新区 南汇府航汽车修理(直流),上海市浦东新区大川公路2657号,0,0,星星充电,公共电站,1.891,1.091,0.8,免费停车（仅供参考，具体以场地方收取为准),121.73520478135364,31.039026201499816
bfd0abed-c9da-46e1-ab81-ba6c06fdd233,嘉定区 环球大厦,上海市嘉定区沪宜公路1168号,0,4,星星充电,公共电站,1.84,1.2,0.64,5元/小时（仅供参考，具体以场地方收取为准),121.30265172688277,31.296223034800747
7ad2e478-7182-4ba8-a6e4-2badec7034d2,浦东新区 沪南公路8999号充电站(直流高低压兼容),上海市浦东新区沪南公路8999号6号门,0,0,星星充电,公共电站,1.5,0.4--0.8--1.2--0.8--1.2--0.8--0.4,0.7--0.7--0.7--0.7--0.7--0.7--0.7,免费,121.70384702819743,31.037328492206147
a266b4f5-3794-4d2f-b27d-9187f63a2a66,奉贤区 南行贤苑(专用开放),上海市奉贤区万顺路2277弄,0,10,星星充电,专用电站,1.281,0.641,0.64,暂时免费（仅供参考，具体以场地方收取为准),121.51508634560919,30.962730047442676
b4056770-1722-4849-a039-f6e745f6ced3,浦东新区 城置广场(直流高低压兼容),上海市浦东新区浦三路3801号,0,0,星星充电,公共电站,1.8,1.4,0.4,15分钟内免费，5元/15分钟-1小时，10元/1-2小时，封顶15元 （仅供参考，具体以上地方收费为准）,121.5487654705181,31.13152532315349
cab2e207-0d80-4175-88d5-624561dd2c8c,奉贤区 佳源梦想广场,上海市奉贤区金海公路99弄,0,3,星星充电,公共电站,1.34,0.264--0.7--1.132--0.7--1.132--0.264,0.64--0.64--0.568--0.64--0.568--0.64,一小时免费，1-8小时收费五元，8-24小时10元；包月300元,121.51273980375977,30.84811748654785
a956e279-6136-4bb1-81f4-100a7ca646e4,杨浦区淞沪路政通路路口停车库二楼,杨浦区淞沪路政通路路口停车库二楼,0,4,人人电站,专用电站,0.0,0.0,0.0,,121.51946660295422,31.302194517393957
77173eca-ad91-41f4-8f2e-302abb5cce58,宝山区 广汽传祺弘品店(直流),上海市宝山区月罗公路1563号,0,0,星星充电,公共电站,1.8,0.489--1.019--0.489,0.8--0.781--0.8,免费（仅供参考，具体以场地方收费为准）,121.3749630173988,31.417281580596182
da5106f3-29a0-401f-88dc-33f793557789,闵行区 贵都新村(直流),上海市闵行区都市路3635弄38号,1,0,星星充电,专用电站,1.745,0.945,0.8,5元/小时（仅供参考，具体以场地方收取为准),121.40149121626635,31.081918768606933
4e458c57-e106-4ffa-a48a-d9f095f753e8,徐汇区 龙南佳苑住宅区,上海市徐汇区龙水南路330号,0,20,星星充电,公共电站,1.281,0.641,0.64,,121.45339723318493,31.153214860278446
25c99748-b4ae-4114-be95-79bb75e21250,浦东新区 东方悦居(直流),(仅供内部使用)上海市浦东新区杨思路1121弄,0,0,星星充电,专用电站,1.441,0.641,0.8,4元/小时（仅供参考，具体以场地方收取为准),121.50490417814383,31.16465596172735
a7deed5d-e178-414f-bfd5-fcccde361a75,闵行区 万博家园,上海市闵行区北华路168弄,0,38,星星充电,公共电站,1.281,0.641,0.64,5元/小时（仅供参考，具体以场地方收取为准),121.32914598224764,31.228162427707375
c0dde94f-d585-4c47-ad7b-5d6dda8c0a7a,长宁区 虹桥迎宾馆(直流 专用开放),(工作地对内开放)上海市长宁区虹桥路1591号,1,0,星星充电,专用电站,1.9,1.1,0.8,20元/小时（仅供参考，具体以场地方收取为准）,121.39823334305251,31.200985398863317
504cf5ae-a7c7-41b7-b3a6-1b37aedde79a,浦东新区 惊竟租赁二期(直流),上海市浦东新区御衡路48号,1,0,星星充电,公共电站,1.7,0.9,0.8,暂免（仅供参考，具体以场地方收费为准）,121.58322350183788,31.153689750440456
73a66750-5e20-4bf8-be30-25cab49eb4fe,浦东新区 东方悦居,(仅供内部使用)上海市浦东新区杨思路1121弄,0,15,星星充电,专用电站,1.281,0.641,0.64,4元/小时（仅供参考，具体以场地方收取为准),121.50489910072028,31.16441996783104
ae2a3935-cccb-4670-9b54-7e147c817bfc,浦东新区 上海市浦东新区金杨社区卫生服务中心,(仅对内开放)上海市浦东新区金杨路121号,0,0,星星充电,专用电站,1.404,0.954,0.45,免费停车（仅对内开放，仅供参考，具体以场地方收取为准),121.57320834659279,31.24689925109701
7948c3c0-66ae-4011-810c-0b54eff21277,闵行区 永康城永锦苑(直流),上海市闵行区永颂路198弄,2,0,星星充电,公共电站,1.6,0.8,0.8,1-8小时收费5元（仅供参考，具体以场地方收取为准),121.50193323215827,31.02936872268525
9bed12cf-ff6b-47e6-b642-fe9b88d72d66,浦东新区 天龙药业(直流),上海市浦东新区川沙镇川沙路4019号,2,0,星星充电,公共电站,1.508,0.345--0.708--1.159--0.708--1.159--0.708--0.345,0.8--0.8--0.641--0.8--0.641--0.8--0.8,暂时免费（仅供参考，具体以场地方收取为准),121.69303952692064,31.209287604197044
b46b4469-e1f9-4dce-bdde-c44d4311ece1,浦东新区 上海东锦江希尔顿逸林酒店(直流),上海市浦东新区锦康路356号地下车库,0,0,星星充电,公共电站,2.03,1.23,0.8,15分钟内免费，一小时内10元，两小时内15元，之后每小时加5元，过夜60元，24小时之内最高收取停车费60元（仅供参考，具体以场地方收取为准),121.53374936041973,31.211302228536848
c2ac3248-2fb5-444a-b537-8b497a7e02f8,闵行区 虹梅南苑(直流),上海市闵行区虹梅南路1728弄进门右侧停车位,1,0,星星充电,公共电站,1.44,0.84,0.6,1小时内免费，1~8小时5元（仅供参考，具体以场地方收取为准),121.42897085424062,31.11232548391508
ff6b0566-5203-4c79-a220-d52120d8c034,闵行区 金榜新苑(直流),上海市闵行区都市路1800弄,0,0,星星充电,公共电站,1.55,0.75,0.8,12小时之内5元/次，超过部分加收5元，最高10元/天（仅供参考，具体以场地方收费为准）,121.41469636390792,31.05748665089379
