CPG,412986,412986.0,1.0,4.345
CTC.A,12877,12877.0,1.0,149.83
CWL,100,100.0,1.0,1.54
CWX,100,100.0,1.0,4.875
DML,1000,1000.0,1.0,0.755
DRM,100,100.0,1.0,7.035
DRT,7500,7500.0,1.0,6.85
EFR,100,100.0,1.0,4.495
EQB,719,719.0,1.0,70.56
FEC,300,300.0,1.0,13.245
FN,200,200.0,1.0,28.13
FTN,100,100.0,1.0,8.63
GCG,60,60.0,1.0,22.745
GCG.A,20,20.0,1.0,22.78
GOOS,73051,73051.0,1.0,92.375
GS,200,200.0,1.0,10.705
HBC,20146,20146.0,1.0,9.13
HDI,400,400.0,1.0,12.01
HLF,100,100.0,1.0,6.835
HNL,200,200.0,1.0,2.185
IFC,8212,8212.0,1.0,104.535
IPL,6094,6094.0,1.0,21.255
JE,27301,27301.0,1.0,5.705
JWEL,600,600.0,1.0,22.555
KEW,10,10.0,1.0,6.055
KL,6991,6991.0,1.0,28.715
KWH.UN,200,200.0,1.0,5.185
LAC,200,200.0,1.0,5.16
LMC,376,376.0,1.0,1.525
LNR,10560,10560.0,1.0,48.585
MKP,100,100.0,1.0,14.085
MRC,400,400.0,1.0,179.625
NMX,2000,2000.0,1.0,0.765
OSK,100,100.0,1.0,2.515
PBL,30,30.0,1.0,22.115
PFB,10,10.0,1.0,9.175
PIF,100,100.0,1.0,9.86
PLC,207,207.0,1.0,23.135
PLI,500,500.0,1.0,0.408
PZA,200,200.0,1.0,9.195
REAL,100,100.0,1.0,4.5
RECP,100,100.0,1.0,26.42
ROOT,7300,7300.0,1.0,4.78
SOT.UN,400,400.0,1.0,7.045
SUM,500,500.0,1.0,12.3
TDG,1900,1900.0,1.0,1.675
TEV,200,200.0,1.0,7.915
TF,300,300.0,1.0,9.15
TGL,100,100.0,1.0,2.895
TGOD,2644,2644.0,1.0,3.185
TH,100,100.0,1.0,8.455
U,200,200.0,1.0,4.865
UEX,500,500.0,1.0,0.19
VFF,100,100.0,1.0,5.325
VLE,100,100.0,1.0,3.75
ZYME,200,200.0,1.0,17.085
