小猪佩奇过大年,张大鹏,4.1,7.4,7.6,0,0,郝铭,4.1,0,0,0,0,张大鹏,4.1,7.4,7.6,0,0,朱亚文,4.1,4.7,8.3,0,0,刘芸,4.1,3.2,4.9,0,0,归亚蕾,4.1,6.2,3.5,0,0,儿童/动画/歌舞/家庭,中国大陆 / 英国,汉语普通话 / 英语,2019-02-05,81,8859,9191,4.1
叶问外传：张天志,袁和平,5.6,4.4,4.7,0,0,黄子桓,5.6,3.4,5.0,6.3,6.3,陈大利,5.6,5.1,6.6,6.3,0,张晋,5.6,5.4,4.9,4.9,6.3,戴夫·巴蒂斯塔,5.6,6.3,3.2,5.6,8.1,柳岩,4.2,5.6,4.3,0,0,剧情/动作,中国大陆 / 香港,汉语普通话 / 粤语,2018-10-13,107,22036,8336,5.6
爱你，西蒙,格里格·伯兰蒂,7.5,8.3,6.6,8.2,0,伊丽莎白·伯格,9.5,8.3,9.4,9.5,0,艾萨克·阿普塔克,9.5,8.3,9.4,9.5,7.3,尼克·罗宾森,8.3,6.6,4.7,0,0,詹妮弗·加纳,6.1,6.5,8.3,6.4,0,乔什·杜哈明,8.3,7.3,6.7,4.9,0,爱情/同性,美国,英语,2018-03-16,110,113030,97983,8.3
特工,尹钟彬,8.4,7.4,7.3,7.2,6.5,尹钟彬,8.4,7.4,7.3,7.2,6.5,0,0,0,0,0,0,黄政民,8.4,7.8,7.3,7.2,7.3,李星民,5.6,6.0,8.4,5.8,7.3,赵震雄,7.4,6.4,8.4,6.0,7.4,剧情,韩国,韩语 / 汉语普通话 / 日语,2018-05-11,137,61199,71593,8.4
找到你,吕乐,7.4,7.5,6.8,7.5,0,秦海燕,7.4,0,0,0,0,0,0,0,0,0,0,姚晨,7.4,5.2,0,0,0,马伊琍,6.8,7.4,5.8,0,0,袁文康,6.0,7.3,7.4,7.4,6.7,剧情,中国大陆,汉语普通话,2018-06-17,102,122964,106573,7.4
燃烧,李沧东,7.9,8.4,6.3,7.7,7.2,李沧东,7.9,8.4,6.3,7.7,7.2,吴政美,7.9,0,0,0,0,刘亚仁,7.5,7.9,7.6,7.8,0,史蒂文·元,9.1,9.1,7.9,0,0,全钟瑞,7.9,0,0,0,0,剧情/悬疑,韩国,韩语,2018-05-16,148,134067,114374,7.9
快把我哥带走,郑芬芬,6.8,6.5,0,0,0,赵越,6.8,0,0,0,0,郑芬芬,6.8,6.5,0,0,0,张子枫,6.7,6.8,5.7,0,0,彭昱畅,8.7,6.8,8.1,0,0,赵今麦,7.9,6.8,6.9,7.8,0,喜剧/奇幻,中国大陆,汉语普通话,2018-08-17,115,197443,57361,6.8
我身体里的那个家伙,姜孝镇,6.9,7.3,5.8,7.7,0,申汉率,6.9,6.5,6.1,5.6,6.7,赵重勋,6.9,5.8,9.2,6.1,0,郑真英,6.9,6.8,7.1,7.1,0,朴圣雄,5.3,6.9,7.9,5.3,0,罗美兰,6.9,7.8,5.5,7.8,0,剧情/喜剧,韩国,韩语,2019-01-09,122,6781,5231,6.9
解除好友2：暗网,斯蒂芬·思科,5.5,7.9,6.3,0,0,斯蒂芬·思科,5.5,7.9,6.3,0,0,0,0,0,0,0,0,科林·伍德尔,5.8,7.9,6.5,5.2,8.5,斯蒂芬妮·诺格拉斯,7.9,0,0,0,0,瑞贝卡·瑞滕豪斯,5.7,7.9,6.0,6.4,0,犯罪/恐怖,美国,英语,2018-03-09,92,91558,65904,7.9
狄仁杰之四大天王,徐克,6.1,4.4,5.5,4.8,8.2,张家鲁,7.9,6.1,7.2,0,0,徐克,6.1,4.4,5.5,4.8,8.2,赵又廷,6.1,6.7,2.8,0,0,冯绍峰,7.0,7.5,6.1,4.4,5.5,林更新,6.6,6.1,6.3,0,0,动作/悬疑/奇幻/武侠/古装,中国大陆 / 香港,汉语普通话,2018-07-27,132,191375,100567,6.1
巨齿鲨,乔·德特杜巴,5.7,4.8,0,0,0,迪恩·乔格瑞斯,5.7,7.8,7.2,0,0,乔·霍贝尔,5.7,7.1,6.6,7.2,7.5,杰森·斯坦森,5.7,7.0,5.6,0,0,李冰冰,5.7,3.5,4.9,3.2,0,雷恩·威尔森,6.9,6.0,7.3,5.7,7.4,动作/科幻/惊悚,美国 / 中国大陆 / 香港,英语 / 汉语普通话 / 泰语,2018-08-10,115,142013,117022,5.7
悲伤逆流成河,落落,5.8,2.6,5.7,0,0,落落,5.8,2.6,5.7,0,0,郭敬明,5.8,4.4,3.2,3.8,3.2,赵英博,5.8,9.1,6.2,0,0,任敏,5.8,0,0,0,0,辛云来,5.8,0,0,0,0,剧情/爱情,中国大陆,汉语普通话,2018-09-21,104,124970,58273,5.8
昨日青空,奚超,6.1,0,0,0,0,口袋巧克力,6.1,0,0,0,0,0,0,0,0,0,0,苏尚卿,0,0,0,0,0,王一博,6.1,5.8,5.1,0,0,段艺璇,6.1,0,0,0,0,爱情/动画,中国大陆,汉语普通话,2018-10-26,82,35540,105362,6.1
