_CFT****36377,发表于 2018-12-14 17:24,,,,,['JW万豪'， '上海'， '丽思卡尔顿'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居枣庄
凡人客栈,发表于 2018-12-14 15:15,和谁：一个人,玩法：摄影，人文,,,['枫泾'],[{'district': '金山区'， 'address': '枫泾'， 'geo': {'lng': 121.023553， 'lat': 30.892415}}],现居上海
吴人少白,发表于 2018-12-14 13:35,天数：2 天,时间：12 月,人均：1500 元,和谁：亲子,['上海海底世界'， '上海'， '滴水湖'],[{'district': '普陀区'， 'address': '上海海底世界'， 'geo': {'lng': 121.403564， 'lat': 31.230475}}， {'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '浦东新区'， 'address': '滴水湖'， 'geo': {'lng': 121.94731， 'lat': 30.903488}}],现居苏州
芋圆子,发表于 2018-12-14 09:21,天数：3 天,和谁：和朋友,,,['上海'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居泉州
M47****797,发表于 2018-12-14 00:17,天数：2 天,人均：1000 元,和谁：和朋友,玩法：美食，周末游,['上海迪士尼度假区'， '雷鸣山漂流'],[{'district': '浦东新区'， 'address': '上海迪士尼度假区'， 'geo': {'lng': 121.672711， 'lat': 31.147463}}],现居上海
haruxu,发表于 2018-12-13 20:55,天数：2 天,时间：12 月,人均：400 元,和谁：亲子,['上海'， '冰雪奇缘'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居上海
前沿旅讯,发表于 2018-12-13 18:44,玩法：人文,,,,['上海'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居商丘
M27****4841,发表于 2018-12-13 15:53,天数：1 天,时间：12 月,人均：500 元,和谁：情侣,['东方明珠'],[{'district': '浦东新区'， 'address': '东方明珠'， 'geo': {'lng': 121.50647， 'lat': 31.245342}}],现居上海
天天印相,发表于 2018-12-13 15:19,天数：1 天,时间：12 月,人均：12 元,和谁：和朋友,['上海'， '陆家嘴中心绿地'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '浦东新区'， 'address': '陆家嘴中心绿地'， 'geo': {'lng': 121.512656， 'lat': 31.243807}}],现居上海
不喜欢大海的鱼,发表于 2018-12-13 13:36,玩法：美食，摄影，自驾，人文，自由行，火车，穷游，省钱，周末游，美食林,,,,['崇明岛'， '上海'， '农家乐'， '前卫生态村'， '钓鱼'],[{'district': '崇明县'， 'address': '崇明岛'， 'geo': {'lng': 121.461179， 'lat': 31.665382}}， {'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '杨浦区'， 'address': '农家乐'， 'geo': {'lng': 121.547869， 'lat': 31.288031}}， {'district': '崇明县'， 'address': '前卫生态村'， 'geo': {'lng': 121.518093， 'lat': 31.729928}}],现居承德
凡人客栈,发表于 2018-12-12 19:15,时间：12 月,和谁：一个人,玩法：摄影，人文,,['枫泾'， '上海'],[{'district': '金山区'， 'address': '枫泾'， 'geo': {'lng': 121.023553， 'lat': 30.892415}}， {'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居上海
